Name,Substance,Amount,Sold As,Date Published,Date Tested,Location,Size
Eule,MDMA,100,NA,"Mar 06, 2020","Mar 06, 2020","Innsbruck, Austria",397.2 mg
No Speak,MDMA,179.2,MDMA / Ecstasy,"Mar 06, 2020","Mar 04, 2020","Bern, Switzerland",440.7 mg<br/>11.0 mm x 10.6 mm
Adulterated Cannabis,CUMYL-4CN-BINACA,"1</li>
</ul>",Cannabis,"Mar 06, 2020","Mar 04, 2020","Bern, Switzerland",-
Eule,MDMA,199.3,MDMA / Ecstasy,"Mar 06, 2020","Mar 03, 2020","Zurich, Switzerland",539.3 mg<br/>12.1 mm x 10.0 mm
Blotter,DOC,14.2,LSD,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",4.0&amp;nbspmm x 4.4&amp;nbspmm
Plata o Plomo,MDMA,218.7,MDMA / Ecstasy,"Feb 28, 2020","Feb 26, 2020","Bern, Switzerland",411.4 mg<br/>7.1 mm x 12.5 mm
Octopus,MDMA,170.5,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Zurich, Switzerland",540.2 mg<br/>12.7 mm x 11.1 mm
Mephedrone,3-Methylmethcathinone,"</li>
</ul>",Mephedrone,"Feb 28, 2020","Feb 25, 2020","Zurich, Switzerland",-
Chupa Chups,MDMA,122.7,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",342.2 mg<br/>9.6 mm x 4.1 mm
Dom Pérignon,MDMA,138.4,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",369.8 mg<br/>10.7 mm x 10.5 mm
Vogel,MDMA,168.3,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",292.2 mg<br/>9.9 mm x 7.3 mm
Redbull,MDMA,170.7,MDMA / Ecstasy,"Feb 28, 2020","Feb 29, 2020","Bern, Switzerland",497.6 mg<br/>11.7 mm x 7.7 mm
Redbull,MDMA,217.8,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",502.2 mg<br/>11.7 mm x 7.1 mm
Fake Xanax,Etizolam,"</li>
</ul>",Xanax / Alprazolam,"Feb 28, 2020","Feb 21, 2020","Zurich, Switzerland",333.8 mg<br/>15.2 mm x 6.6 mm
Mephedrone,3-Methylmethcathinone,"</li>
</ul>",4-Methylmethcathinone,"Feb 28, 2020","Feb 19, 2020","Bern, Switzerland",-
Skype,MDMA,148.4,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",496.1 mg<br/>12.4 mm x 8.9 mm
Skype,MDMA,144.3,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",497.3 mg<br/>12.2 mm x 8.8 mm
Philipp Plein,MDMA,221.4,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",504.3 mg<br/>12.9 mm x 11.3 mm
Levi's,MDMA,173,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",440.9 mg<br/>12.4 mm x 7.0 mm
Adulterated Cannabis,CUMYL-4CN-BINACA,"</li>
</ul>",Cannabis,"Feb 28, 2020","Feb 19, 2020","Bern, Switzerland",-
FC Barcelona,MDMA,187.5,MDMA / Ecstasy,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",379.1 mg<br/>10.4 mm x 10.5 mm
Handgranate,MDMA,187.9,MDMA / Ecstasy,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",479.1 mg<br/>12.9 mm x 8.3 mm
Diamant,MDMA,183,MDMA / Ecstasy,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",435.1 mg<br/>10.7 mm x 12.3 mm
Adulterated Heroin,Acetaminophen,"</li>
",Heroin,"Feb 28, 2020","Feb 26, 2020","Vienna, Austria",-
Fake Alprazolam,Flualprazolam,"</li>
</ul>",Alprazolam Tablet,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Adulterated MDMA,Acetaminophen,"</li>
",MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Blotter,Benzoylecgonine,"</li>
",LSD,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Totenkopf,MDMA,318,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",11.6&amp;nbspmm x 3.8&amp;nbspmm
Kleeblatt,MDMA,232,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Red Bull,MDMA,175,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",11.7&amp;nbspmm x 5.9&amp;nbspmm
Heineken,MDMA,156,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.3&amp;nbspmm x 4.3&amp;nbspmm
Trump,MDMA,142,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.1&amp;nbspmm x 4.4&amp;nbspmm
Bandit,MDMA,133,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.1&amp;nbspmm x 4.3&amp;nbspmm
Goldbarren,MDMA,129,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",10.1&amp;nbspmm x 4.4&amp;nbspmm
Affe,MDMA,118,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",10.5&amp;nbspmm x 4.3&amp;nbspmm
Pharaoh,MDMA,116,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.6&amp;nbspmm
Plata | Plomo,MDMA,238,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.8&amp;nbspmm
Plata | Plomo,MDMA,249,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.8&amp;nbspmm
Lipton,MDMA,127,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",13.2&amp;nbspmm x 4.3&amp;nbspmm
Lipton,MDMA,161,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",13.2&amp;nbspmm x 4.3&amp;nbspmm
Coca-Cola,MDMA,197,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 5.0&amp;nbspmm
Coca-Cola,MDMA,207,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 5.0&amp;nbspmm
Coca-Cola,MDMA,191,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.1&amp;nbspmm x 5.0&amp;nbspmm
Pink Powder,Ketamine,"10</li>
",2C-B,"Feb 21, 2020","Feb 19, 2020",Colombia,500 mg
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Rothbury, MI",100 mg
Moon Rocks,MDMA,"1</li>
",Molly,"Feb 21, 2020","Feb 19, 2020","West Covina, CA",131 mg<br/>7.3 mm x 23.4 mm
White Powder,Etizolam,"1</li>
</ul>",Alprazolam,"Feb 21, 2020","Feb 19, 2020","Online, China",400 mg
Modalert 200,Modafinil,"1</li>
</ul>",Modafinil,"Feb 21, 2020","Feb 19, 2020","Online, Singapore",323 mg<br/>10.2 mm x 10.2 mm
Molly,MDMA,"1</li>
</ul>",Molly,"Feb 21, 2020","Feb 19, 2020","Gainesville, FL",50 mg
Mitsubishi,Caffeine,"2</li>
",Molly,"Feb 21, 2020","Feb 19, 2020","Kansas City, MO",176 mg<br/>8.1 mm x 8.1 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Houston, TX",5 mg
Mercedes,MDMA,"1</li>
",MDMA,"Feb 21, 2020","Feb 19, 2020",CO,212 mg<br/>8.1 mm x 8.1 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Seattle, WA",50 mg
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Online, Poland",202 mg<br/>8.3 mm x 22.9 mm
Blue Punisher,MDMA,"13</li>
",MDMA,"Feb 21, 2020","Feb 19, 2020","Bell Gardens, CA",447 mg<br/>10.1 mm x 13.7 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","New York, NY",121 mg<br/>5.6 mm x 16.9 mm
IDRA-21,IDRA-21,"1</li>
</ul>",IDRA-21,"Feb 21, 2020","Feb 19, 2020","Online, Europe",100 mg
M523,Acetaminophen,"25</li>
",Percocet or Oxycodone/Acetaminophen,"Feb 21, 2020","Feb 19, 2020","Morristown, TN",529 mg<br/>7.4 mm x 16.2 mm
Farmapram,Alprazolam,"1</li>
</ul>",Farmapram,"Feb 21, 2020","Feb 19, 2020",Online,257 mg<br/>4.6 mm x 15.5 mm
White Powder,Caffeine,"1</li>
</ul>",Caffeine pills,"Feb 21, 2020","Feb 19, 2020",Online,612 mg<br/>7.3 mm x 21.2 mm
Alprazolam,Alprazolam,"1</li>
</ul>",Alprazolam,"Feb 21, 2020","Feb 19, 2020",Online,100 mg<br/>6.0 mm x 6.0 mm
Dope,Diphenhydramine,"3</li>
",Heroin,"Feb 21, 2020","Feb 19, 2020","Chicago, IL",100 mg
Crack,Cocaine,"1</li>
</ul>",Crack,"Feb 21, 2020","Feb 19, 2020","Chicago, IL",20 mg
Dope,Diphenhydramine,"2</li>
",Heroin,"Feb 21, 2020","Feb 19, 2020","Chicago, IL",50 mg
Dope,Fentanyl,"3</li>
",Heroin,"Feb 21, 2020","Feb 19, 2020","Chicago, IL",100 mg
Cocaine,Cocaine,"1</li>
",Cocaine,"Feb 21, 2020","Feb 19, 2020","Chicago, IL",50 mg
Endocodil IR,Oxycodone,"1</li>
</ul>",Endocodil IR 40mg,"Feb 21, 2020","Feb 19, 2020",,210 mg<br/>8.2 mm x 8.2 mm
Endocodil IR,Oxycodone,"1</li>
</ul>",Endocodil IR 40mg,"Feb 21, 2020","Feb 19, 2020",Online,210 mg<br/>8.2 mm x 8.2 mm
Fake Xanax,Etizolam,2.1,Xanax / Alprazolam,"Feb 21, 2020","Feb 19, 2020","Bern, Switzerland",345.2 mg<br/>15.2 mm x 5.1 mm
Herz,2C-B,13.1,Not Specified,"Feb 21, 2020","Feb 18, 2020","Zurich, Switzerland",167.9 mg<br/>7.0 mm x 7.6 mm
Adulterated Cannabis,5F-MDMB-PICA,"</li>
",MDMA / Ecstasy,"Feb 21, 2020","Feb 14, 2020","Zurich, Switzerland",-
Fake Xanax,Flualprazolam,"</li>
</ul>",Xanax / Alprazolam,"Feb 21, 2020","Feb 21, 2020","Innsbruck, Austria",-
Givenchy,MDMA,230.5,MDMA / Ecstasy,"Feb 17, 2020","Feb 07, 2020","Zurich, Switzerland",465.7 mg<br/>9.1 mm x 9.1 mm
White Bar,Flualprazolam,"</li>
</ul>",Alprazolam,"Feb 17, 2020","Feb 14, 2020","Innsbruck, Austria",205.8 mg
dp 30,Methamphetamine,"1</li>
</ul>",Adderall,"Feb 07, 2020","Feb 05, 2020","Los Angeles, CA",476 mg<br/>10.1 mm x 10.1 mm
GG 249,None Detected,"1</li>
</ul>",Xanax,"Feb 07, 2020","Feb 05, 2020","Los Angeles, CA",277 mg<br/>5.3 mm x 15.2 mm
Blue Domino,MDMA,"2</li>
",XTC,"Feb 07, 2020","Feb 05, 2020","Oakland, CA",594 mg<br/>8.4 mm x 13.3 mm
Cocaine,Cocaine,"1</li>
</ul>",Cocaine,"Feb 07, 2020","Feb 05, 2020",Unknown,155 mg<br/>8.2 mm x 22.7 mm
White Powder,Cocaine,"2</li>
",Cocaine,"Feb 07, 2020","Feb 05, 2020",Unknown,147 mg<br/>8.8 mm x 22.8 mm
Molly,MDMA,"1</li>
</ul>",MDMA,"Feb 07, 2020","Feb 05, 2020","Eugene, OR",163 mg<br/>8.3 mm x 23.3 mm
Sky,LSD,"1</li>
</ul>",LSD-25,"Feb 07, 2020","Feb 05, 2020",Estonia,24 mg<br/>9.0 mm x 9.0 mm
Fake Xanax,Flualprazolam,"1</li>
</ul>",White Xanax,"Feb 07, 2020","Feb 05, 2020",Online,226 mg<br/>4.1 mm x 15.1 mm
Fake Xanax,Etizolam,"1</li>
",Xanax 2mg,"Feb 07, 2020","Feb 05, 2020",Online,259 mg<br/>4.8 mm x 15.8 mm
Washed MDA,MDA,"1</li>
</ul>",Washed MDA,"Feb 07, 2020","Feb 05, 2020",Online,187 mg<br/>8.8 mm x 23.1 mm
Scale (Peru),Cocaine,"1</li>
",Cocaine,"Feb 07, 2020","Feb 05, 2020",Online,200 mg<br/>8.6 mm x 22.9 mm
Blotter,25I-NBOMe,"1</li>
</ul>",12mg 2C-C,"Feb 07, 2020","Feb 05, 2020",Online,15 mg<br/>7.2 mm x 6.8 mm
MDMA,MDMA,"1</li>
",MDMA,"Feb 07, 2020","Feb 05, 2020","Portland, OR",100 mg
Rick and Morty,Cocaine,"4</li>
",LSD,"Feb 07, 2020","Feb 05, 2020","New York, NY",10 mg<br/>6.0 mm x 6.7 mm
Dope,Heroin,"6</li>
",Heroin,"Feb 07, 2020","Feb 05, 2020","Dorchester, MA",50 mg
Pink Crystals,MDMA,"6</li>
",MDMA,"Feb 07, 2020","Feb 05, 2020","Portland, OR",224 mg<br/>8.0 mm x 23.2 mm
Chunky Powder,Lauric acid,"5</li>
",Mebroqualone,"Feb 07, 2020","Feb 05, 2020","Online, China",157 mg<br/>8.0 mm x 24.7 mm
LSD Liquid,Antioxidant-2246,"1</li>
",LSD,"Feb 07, 2020","Feb 05, 2020","San Francisco, CA",67 mg<br/>15.4 mm x 15.7 mm
Molly,MDMA,"1</li>
</ul>",MDMA,"Feb 07, 2020","Feb 05, 2020",Online,240 mg<br/>8.2 mm x 23.3 mm
White Powder,MDMA,"12</li>
",MDMA,"Feb 07, 2020","Feb 05, 2020",Online,100 mg
Ketamine,Ketamine,"1</li>
</ul>",Ketamine,"Feb 07, 2020","Feb 05, 2020",Online,50 mg
M30,FUB-144,"1</li>
</ul>",Oxycodone,"Feb 07, 2020","Feb 05, 2020","Tampa, FL",158 mg<br/>8.2 mm x 8.2 mm
Ketamine,Ketamine,"1</li>
</ul>",Ketamine,"Feb 07, 2020","Feb 05, 2020","New York, NY",50 mg
Primo Blow,Cocaine,"2</li>
",Cocaine,"Feb 07, 2020","Feb 05, 2020","San Francisco, CA",100 mg
Butterflies,Caffeine,"2</li>
",Ecstasy/Molly,"Feb 07, 2020","Feb 05, 2020","Wilkes-Barre, PA",286 mg<br/>8.2 mm x 8.2 mm
LSD Blotter,LSD,"1</li>
</ul>",LSD,"Feb 07, 2020","Feb 05, 2020","San Francisco, CA",2 mg<br/>3.2 mm x 3.2 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 07, 2020","Feb 05, 2020",Online,100 mg
Angry Birds,MDMA,"1</li>
</ul>",MDMA,"Feb 07, 2020","Feb 05, 2020",Online,-
Panda LSD,LSD,"1</li>
</ul>",LSD,"Feb 07, 2020","Feb 05, 2020",CA,10 mg<br/>7.0 mm x 7.0 mm
Unicorn,None Detected,"</li>
",'Designer Drug',"Feb 07, 2020","Feb 05, 2020","San Francisco, CA",101 mg<br/>4.4 mm x 6.4 mm
Ketamine,Ketamine,"1</li>
</ul>",Ketamine,"Feb 07, 2020","Feb 05, 2020","Oakland, CA",50 mg
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 07, 2020","Feb 05, 2020","Brooklyn, NY",-
Diamant,MDMA,196.9,MDMA / Ecstasy,"Feb 07, 2020","Feb 05, 2020","Bern, Switzerland",450.3 mg<br/>10.7 mm x 11.8 mm
Fake Hash,4F-MDMB-BINACA,"</li>
",MDMA / Ecstasy,"Feb 07, 2020","Feb 05, 2020","Bern, Switzerland",-
Eule,MDMA,147.3,MDMA / Ecstasy,"Feb 07, 2020","Feb 04, 2020","Zurich, Switzerland",364.2 mg<br/>9.1 mm x 11.0 mm
FC Barcelona,MDMA,195.7,MDMA / Ecstasy,"Feb 07, 2020","Jan 31, 2020","Geneva, Switzerland",357.3 mg<br/>10.5 mm x 10.6 mm
SIM-Karte,MDMA,182.4,MDMA / Ecstasy,"Feb 07, 2020","Jan 31, 2020","Geneva, Switzerland",464.4 mg<br/>7.1 mm x 12.2 mm
Herz,MDMA,191,MDMA / Ecstasy,"Feb 07, 2020","Feb 01, 2020","Innsbruck, Austria",415.4 mg
FB Barcelona,MDMA,160,MDMA / Ecstasy,"Feb 07, 2020","Feb 01, 2020","Innsbruck, Austria",395.8 mg
Duplo,MDMA,148,MDMA / Ecstasy,"Feb 07, 2020","Feb 01, 2020","Innsbruck, Austria",334.6 mg
Batman,MDMA,134,MDMA / Ecstasy,"Feb 07, 2020","Feb 01, 2020","Innsbruck, Austria",410.7 mg
Rolls Royce,MDMA,110,MDMA / Ecstasy,"Feb 07, 2020","Jan 31, 2020","Innsbruck, Austria",375.3 mg
Maybach,MDMA,181,MDMA / Ecstasy,"Feb 07, 2020","Jan 31, 2020","Innsbruck, Austria",379.9 mg
Donald Duck,MDMA,247,MDMA / Ecstasy,"Feb 07, 2020","Jan 31, 2020","Innsbruck, Austria",497.2 mg
Cocaine,Cocaine,"1</li>
",Cocaine,"Feb 06, 2020","Dec 16, 2019","Chicago, IL",100 mg<br/>42.0 mm x 10.6 mm
Dope,Quinine,"4</li>
",Dope,"Feb 06, 2020","Dec 16, 2019","Chicago, IL",100 mg
Cocaine,Cocaine,"1</li>
",Cocaine,"Feb 06, 2020","Dec 16, 2019","Chicago, IL",100 mg
Dope,Quinine,"3</li>
",Dope,"Feb 06, 2020","Dec 16, 2019","Chicago, IL",100 mg
Gorka.in,MDMA,190,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-
Warner Brothers,MDMA,166,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",15.2&amp;nbspmm x 10.3&amp;nbspmm
Bandit,MDMA,175,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.3&amp;nbspmm
Bandit,MDMA,158,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",17.3&amp;nbspmm x 9.4&amp;nbspmm
Chanel,Caffeine,237,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",10.0&amp;nbspmm x 3.3&amp;nbspmm
Armani,MDMA,152,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",6.1&amp;nbspmm x 5.3&amp;nbspmm
Heineken,MDMA,175,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",12.5&amp;nbspmm x 4.3&amp;nbspmm
Diamant,MDMA,191,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",9.8&amp;nbspmm x 5.6&amp;nbspmm
Heineken,MDMA,194,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",12.0&amp;nbspmm x 4.3&amp;nbspmm
Tomorrowland,MDMA,278,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",12.0&amp;nbspmm x 4.8&amp;nbspmm
TechnoGym,MDMA,235,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-
Totenkopf,MDMA,218,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",11.6&amp;nbspmm x 3.7&amp;nbspmm
Totenkopf,MDMA,123,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-&amp;nbspmm x 4.7&amp;nbspmm
Totenkopf,MDMA,122,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",10.3&amp;nbspmm x 3.8&amp;nbspmm
Totenkopf,MDMA,104,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-
Red Bull,MDMA,130,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-&amp;nbspmm x 5.6&amp;nbspmm
Red Bull,MDMA,227,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",11.6&amp;nbspmm x 5.6&amp;nbspmm
Red Bull,MDMA,216,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",11.6&amp;nbspmm x 5.6&amp;nbspmm
Punisher,MDMA,264,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",13.5&amp;nbspmm x 5.1&amp;nbspmm
Shell,MDMA,211,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",8.7&amp;nbspmm x 6.4&amp;nbspmm
Shell,MDMA,174,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-&amp;nbspmm x 5.6&amp;nbspmm
Handgranate,MDMA,193,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",13.1&amp;nbspmm x 5.9&amp;nbspmm
Tesla,MDMA,262,Unknown,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",12.3&amp;nbspmm x 5.5&amp;nbspmm
Tesla,MDMA,205,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",10.6&amp;nbspmm x 5.5&amp;nbspmm
Eule,MDMA,160,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",11.2&amp;nbspmm x 5.3&amp;nbspmm
Ferrari,MDMA,157,MDMA + 2C-B,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",11.2&amp;nbspmm x 4.9&amp;nbspmm
CNN,MDMA,302,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",13.2&amp;nbspmm x 5.2&amp;nbspmm
Geist,MDMA,202,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",9.2&amp;nbspmm x 5.0&amp;nbspmm
Lipton,MDMA,205,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",13.3&amp;nbspmm x 4.2&amp;nbspmm
Superman,MDMA,193,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",10.2&amp;nbspmm x 5.9&amp;nbspmm
Versace,MDMA,123,MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",15.4&amp;nbspmm x 9.9&amp;nbspmm
Frosch,Amphetamine,"1</li>
",MDMA / Ecstasy,"Jan 31, 2020","Jan 31, 2020","Vienna, Austria",-
Redbull,MDMA,170.7,MDMA / Ecstasy,"Jan 31, 2020","Jan 29, 2020","Bern, Switzerland",497.6 mg<br/>7.7 mm x 11.7 mm
Redbull,MDMA,241.1,MDMA / Ecstasy,"Jan 31, 2020","Jan 25, 2020","Zurich, Switzerland",507.9 mg<br/>7.1 mm x 11.7 mm
Xanax Bar,Flualprazolam,"</li>
</ul>",Alprazolam,"Jan 31, 2020","Jan 29, 2020","Bern, Switzerland",264.3 mg<br/>15.2 mm x 4.1 mm
Ninja Turtle,MDMA,139.4,MDMA / Ecstasy,"Jan 31, 2020","Jan 28, 2020","Zurich, Switzerland",421.3 mg<br/>9.1 mm x 9.1 mm
Heineken,MDMA,186.9,MDMA / Ecstasy,"Jan 31, 2020","Jan 28, 2020","Zurich, Switzerland",438.9 mg<br/>6.6 mm x 11.6 mm
Gold,MDMA,129.7,MDMA / Ecstasy,"Jan 31, 2020","Jan 28, 2020","Zurich, Switzerland",544.1 mg<br/>13.3 mm x 8.3 mm
XTC,MDMA,154,MDMA / Ecstasy,"Jan 31, 2020","Jan 25, 2020","Zurich, Switzerland",-
Superman,MDMA,173.3,MDMA / Ecstasy,"Jan 31, 2020","Jan 25, 2020","Zurich, Switzerland",344.9 mg<br/>8.6 mm x 9.6 mm
Handgranate,MDMA,195.2,MDMA / Ecstasy,"Jan 31, 2020","Jan 25, 2020","Zurich, Switzerland",463 mg<br/>12.9 mm x 8.4 mm
Punisher,MDMA,254.5,MDMA / Ecstasy,"Jan 31, 2020","Jan 25, 2020","Zurich, Switzerland",483.9 mg<br/>9.8 mm x 14.1 mm
Punisher,MDMA,245.2,MDMA / Ecstasy,"Jan 31, 2020","Jan 25, 2020","Zurich, Switzerland",487.4 mg<br/>10.3 mm x 10.3 mm
Cannabis,5F-MDMB-PICA,"</li>
",Cannabis,"Jan 31, 2020","Jan 24, 2020","Zurich, Switzerland",-
Heisenberg,MDMA,163.7,MDMA / Ecstasy,"Jan 31, 2020","Jan 24, 2020","Zurich, Switzerland",535.8 mg<br/>13.1 mm x 4.7 mm
Alice im Wunderland,DOC,1500,LSD,"Jan 31, 2020","Jan 17, 2020","Zurich, Switzerland",16.1 mg<br/>6.9 mm x 8.3 mm
Tesla,MDMA,206,MDMA / Ecstasy,"Jan 30, 2020","Jan 24, 2020","Innsbruck, Austria",495.1 mg
Totenkopf,MDMA,138,MDMA / Ecstasy,"Jan 30, 2020","Jan 24, 2020","Innsbruck, Austria",432.2 mg
Twitter,MDMA,140,MDMA / Ecstasy,"Jan 30, 2020","Jan 24, 2020","Innsbruck, Austria",277.5 mg
Hulk,MDMA,178.9,MDMA / Ecstasy,"Jan 24, 2020","Jan 21, 2020","Zurich, Switzerland",401.8 mg<br/>10.1 mm x 10.1 mm
Xanax,Flubromazolam,"</li>
</ul>",Alprazolam,"Jan 24, 2020","Jan 17, 2020","Zurich, Switzerland",321.1 mg<br/>15.2 mm x 5.2 mm
Maybach,MDMA,186.7,MDMA / Ecstasy,"Jan 24, 2020","Jan 17, 2020","Zurich, Switzerland",342.9 mg<br/>12.6 mm x 9.7 mm
Fake Cannabis,5F-MDMB-PICA,"</li>
</ul>",Cannabis,"Jan 19, 2020","Jan 15, 2020","Innsbruck, Austria",-
Plata o Plomo,MDMA,232.9,MDMA / Ecstasy,"Jan 19, 2020","Jan 15, 2020","Bern, Switzerland",450.1 mg<br/>12.1 mm x 7.1 mm
Maybach,MDMA,167.8,MDMA / Ecstasy,"Jan 19, 2020","Jan 14, 2020","Zurich, Switzerland",321.9 mg<br/>12.5 mm x 9.7 mm
Totenkopf,MDMA,179.8,MDMA / Ecstasy,"Jan 19, 2020","Jan 14, 2020","Zurich, Switzerland",719.7 mg<br/>14.1 mm x 10.2 mm
White Crystals,"4-Chloro-N,N-Dimethylcathinone","</li>
</ul>",Methylone,"Jan 19, 2020","Jan 08, 2020","Bern, Switzerland",-
M523,Acetaminophen,"1</li>
",Oxycodone,"Jan 15, 2020","Jan 14, 2020","Boynton Beach, FL",500 mg<br/>7.2 mm x 19.1 mm
Heroin,Fentanyl,"2</li>
",Heroin,"Jan 15, 2020","Jan 14, 2020","Minneapolis, MN",50 mg
Grenade,MDMA,"5</li>
",Molly,"Jan 15, 2020","Jan 14, 2020","Miami, FL",358 mg<br/>7.2 mm x 9.4 mm
White Powder,Cocaine,"1</li>
</ul>",Heroin,"Jan 15, 2020","Jan 14, 2020","New Bedford, MA",20 mg
White Powder,Caffeine,"10</li>
",Fentanyl,"Jan 15, 2020","Jan 14, 2020","New Bedford, MA",20 mg
Off-white Clump,Caffeine,"1</li>
",Heroin,"Jan 15, 2020","Jan 14, 2020","New Bedford, MA",49 mg<br/>4.5 mm x 4.6 mm
Brown Powder,Fentanyl,"1</li>
</ul>",Heroin,"Jan 15, 2020","Jan 14, 2020","New Bedford, MA",50 mg
